PLN_AREA_N,pwd_estimate
ANG MO KIO,5507
BEDOK,8197
BISHAN,2530
BOON LAY,0
BUKIT BATOK,3316
BUKIT MERAH,5313
BUKIT PANJANG,2715
BUKIT TIMAH,2215
CENTRAL WATER CATCHMENT,0
CHANGI,44
CHANGI BAY,0
CHOA CHU KANG,3036
CLEMENTI,2900
DOWNTOWN CORE,60
GEYLANG,3398
HOUGANG,5509
JURONG EAST,2101
JURONG WEST,4691
KALLANG,3338
LIM CHU KANG,0
MANDAI,44
MARINA EAST,0
MARINA SOUTH,0
MARINE PARADE,1573
MUSEUM,5
NEWTON,205
NORTH-EASTERN ISLANDS,0
NOVENA,1451
ORCHARD,18
OUTRAM,725
PASIR RIS,2658
PAYA LEBAR,0
PIONEER,0
PUNGGOL,2164
QUEENSTOWN,3591
RIVER VALLEY,215
ROCHOR,465
SELETAR,1
SEMBAWANG,1448
SENGKANG,3701
SERANGOON,3455
SIMPANG,0
SINGAPORE RIVER,43
SOUTHERN ISLANDS,24
STRAITS VIEW,0
SUNGEI KADUT,28
TAMPINES,5749
TANGLIN,540
TENGAH,58
TOA PAYOH,4484
TUAS,0
WESTERN ISLANDS,0
WESTERN WATER CATCHMENT,2
WOODLANDS,3817
YISHUN,4313
